date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:16	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2018:50:16%20GMT	https://www.tkogmission.org/c	C:/My%20Web%20Sites/tkog/www.tkogmission.org/c.7.delayed	(from https://www.tkogmission.org/handouts)
13:50:16	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2018:50:16%20GMT	https://www.tkogmission.org/t	C:/My%20Web%20Sites/tkog/www.tkogmission.org/t.8.delayed	(from https://www.tkogmission.org/handouts)
13:50:17	6120/6120	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Oct%202025%2018:50:16%20GMT	https://static.wixstatic.com/media/11062b_f1fbf8b243e942a692e564fac5382513f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_f1fbf8b243e942a692e564fac5382513f000.jpg	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/11062b_f1fbf8b243e942a692e564fac5382513f000.jpg/v1/fill/w_288,h_162,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/11062b_f1fbf8b243e942a692e564fac5382513f000.jpg	(from https://www.tkogmission.org/handouts)
13:50:17	67072/67072	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%2248495e2ec0143769103f706accb786f9%22	https://www.tkogmission.org/_files/ugd/b62fc3_b5cd8d19f02842549ceeaf50b264ed88.xls?dn=HolySpiritGiftQuestionaire.xls	C:/My%20Web%20Sites/tkog/www.tkogmission.org/_files/ugd/HolySpiritGiftQuestionaire.xls_;%20filename_=UTF-8''HolySpiritGiftQuestionaire8066.xls	(from https://www.tkogmission.org/handouts)
13:50:18	3099/3099	---M--	200	added ('OK')	image/gif	etag:%22cfTkPZqgFsiwLGWMFlSLQxPrA2K1VnHOdKHxTvMGKADQ:60afaa97-c1b%22	https://www.paypalobjects.com/en_US/i/btn/btn_donateCC_LG.gif	C:/My%20Web%20Sites/tkog/www.paypalobjects.com/en_US/i/btn/btn_donateCC_LG.gif	(from https://www.tkogmission.org/handouts)
13:50:18	1236267/1236267	---M--	200	added ('OK')	application/pdf	etag:%221090403a138d26350b814fdd6266338c%22	https://www.tkogmission.org/_files/ugd/b62fc3_a4b05728054e4530baa686b379423914.pdf	C:/My%20Web%20Sites/tkog/www.tkogmission.org/_files/ugd/SPANISH_THELEGACYSERIESBOOK1.pdf_;%20filename_=UTF-8''SPANISH_THELEGACYSERIESBOOK1.pdf	(from https://www.tkogmission.org/handouts)
13:50:18	43/43	---M--	200	added ('OK')	image/gif	etag:%22cfRCl5RHCPaxWqSUk2MFPH2cYSK1VnHOdKHxTvMGKADQ:5d5637be-2b%22	https://www.paypalobjects.com/en_US/i/scr/pixel.gif	C:/My%20Web%20Sites/tkog/www.paypalobjects.com/en_US/i/scr/pixel.gif	(from https://www.tkogmission.org/handouts)
13:50:18	1079/1079	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:18%20GMT	https://static.wixstatic.com/media/81af6121f84c41a5b4391d7d37fce12a.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/81af6121f84c41a5b4391d7d37fce12a.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/81af6121f84c41a5b4391d7d37fce12a.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/81af6121f84c41a5b4391d7d37fce12a.png	(from https://www.tkogmission.org/handouts)
13:50:18	987/987	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:18%20GMT	https://static.wixstatic.com/media/203dcdc2ac8b48de89313f90d2a4cda1.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/203dcdc2ac8b48de89313f90d2a4cda1.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/203dcdc2ac8b48de89313f90d2a4cda1.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/203dcdc2ac8b48de89313f90d2a4cda1.png	(from https://www.tkogmission.org/handouts)
13:50:19	835/835	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Oct%202025%2018:50:18%20GMT	https://static.wixstatic.com/media/23fd2a2be53141ed810f4d3dcdcd01fa.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/23fd2a2be53141ed810f4d3dcdcd01fa.png	C:/My%20Web%20Sites/tkog/static.wixstatic.com/media/23fd2a2be53141ed810f4d3dcdcd01fa.png/v1/fill/w_26,h_26,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/23fd2a2be53141ed810f4d3dcdcd01fa.png	(from https://www.tkogmission.org/handouts)
13:50:19	131854/131854	---M-Z	200	added ('OK')	application/javascript	etag:%223dba122fff59f2079b3877b077a5c7c7%22	https://browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	C:/My%20Web%20Sites/tkog/browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	(from https://www.tkogmission.org/handouts)
13:50:19	3323/3323	---M-Z	200	added ('OK')	application/javascript	etag:%22ccf0e1db3811d44808d97a63c7a72d1f%22	https://browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	C:/My%20Web%20Sites/tkog/browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	(from https://www.tkogmission.org/handouts)
13:50:19	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2018:50:19%20GMT	https://www.tkogmission.org/envelope/	C:/My%20Web%20Sites/tkog/www.tkogmission.org/envelope/index.html	(from https://www.tkogmission.org/handouts)
13:50:19	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2018:50:19%20GMT	https://www.tkogmission.org/api/	C:/My%20Web%20Sites/tkog/www.tkogmission.org/api/index.html	(from https://www.tkogmission.org/handouts)
13:50:20	478/478	---MCZ	200	added ('OK')	text/xml	etag:W/%221de-BsNsRd0/jGeLu4QkDaff0AyHcZ0%22	https://www.tkogmission.org/sitemap.xml	C:/My%20Web%20Sites/tkog/www.tkogmission.org/sitemap.xml	(from https://www.tkogmission.org/handouts)
13:50:20	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2018:50:20%20GMT	https://www.tkogmission.org/feed.xml	C:/My%20Web%20Sites/tkog/www.tkogmission.org/feed.14.delayed	(from https://www.tkogmission.org/handouts)
13:50:20	138864/138864	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d3dfe820b85d834acfb119c4de48e249%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.f74bb82c.bundle.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.f74bb82c.bundle.min.js	(from https://www.tkogmission.org/handouts)
13:50:21	266924/266924	---M-Z	200	added ('OK')	application/javascript	etag:W/%2239aef62bc76d7f447b4e8181acaca3db%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.3ea18ff8.bundle.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/services/wix-thunderbolt/dist/main.3ea18ff8.bundle.min.js	(from https://www.tkogmission.org/handouts)
13:50:21	154/154	---M--	200	added ('OK')	application/javascript	etag:%222cd14e55ed3e14290ecd4c5ca33dc648%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	(from https://www.tkogmission.org/handouts)
13:50:21	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.tkogmission.org/handouts)
13:50:22	10751/10751	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.tkogmission.org/handouts)
13:50:22	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.tkogmission.org/handouts)
13:50:22	5943/5943	---M-Z	200	added ('OK')	application/javascript	etag:W/%2217261684e539753369be14d859077377%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://www.tkogmission.org/handouts)
13:50:23	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2004%20Oct%202025%2018:50:22%20GMT	https://www.tkogmission.org/decodeURIComponent(e	C:/My%20Web%20Sites/tkog/www.tkogmission.org/decodeURIComponent(e.1c.delayed	(from https://www.tkogmission.org/handouts)
13:50:23	9582/9582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22df644f83788d1f4c908f19099724035e%22	https://static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/tkog/static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	(from https://www.tkogmission.org/handouts)
